"Simpsons, The: Bartman Meets Radioactive Man",Acclaim,1992
Skate or Die,Ultra Games (Konami),1988
Skate or Die 2: The Search for Double Trouble,Electronic Arts,1990
Ski or Die,Ultra Games (Konami),1991
Skull & Crossbones,Tengen,1990
Sky Kid,Sunsoft,1987
Sky Shark,Taito,1989
Slalom,Nintendo,1987
Smash T.V.,Acclaim,1991
Snake Rattle 'n' Roll,Nintendo,1990
Snake's Revenge,Ultra Games (Konami),1990
Snoopy's Silly Sports Spectacular!,Kemco,1990
Snow Brothers,Capcom,1991
Soccer,Nintendo,1987
Solar Jetman: Hunt for the Golden Warpship,Tradewest,1990
Solitaire,AVE,1992
Solomon's Key,Tecmo,1987
Solstice: The Quest for the Staff of Demnos,Sony Imagesoft,1990
Space Shuttle Project,Absolute,1991
Spelunker,Broderbund,1987
Spider-Man: Return of the Sinister Six,LJN,1992
Spiritual Warfare,Wisdom Tree,1992
Spot: The Video Game,Arcadia Systems,1990
Spy Hunter,Sunsoft,1987
Spy vs. Spy,Kemco,1988
Sqoon,Irem,1987
Stack-Up,Nintendo,1985
Stadium Events,Bandai,1987
Stanley: The Search for Dr. Livingston,Electro Brain,1992
Star Force,Tecmo,1987
Star Soldier,Taxan,1989
Star Trek: 25th Anniversary,Ultra Games (Konami),1992
Star Trek: The Next Generation,Absolute,1993
Star Voyager,Acclaim,1987
Star Wars,JVC,1991
Star Wars: The Empire Strikes Back,JVC,1992
Starship Hector,Hudson Soft,1990
StarTropics,Nintendo,1990
Stealth ATF,Activision,1989
Stinger,Konami,1987
Street Cop,Bandai,1989
Street Fighter 2010: The Final Fight,Capcom,1990
Strider,Capcom,1989
Stunt Kids,Camerica,1992
Sunday Funday: The Ride,Wisdom Tree,1995
Super C,Konami,1990
Super Cars,Electro Brain,1991
Super Dodge Ball,Sony Imagesoft,1989
Super Glove Ball,Mattel Electronics,1990
Super Jeopardy!,GameTek,1991
Super Mario Bros.,Nintendo,1985
Super Mario Bros. 2,Nintendo,1988
Super Mario Bros. 3,Nintendo,1990
Super Mario Bros./Duck Hunt,Nintendo,1988
Super Mario Bros./Duck Hunt/World Class Track Meet,Nintendo,1990
Super Pitfall,Activision,1987
Super Spike V'Ball,Nintendo,1990
Super Spike V'Ball/Nintendo World Cup,Nintendo,1990
Super Sprint,Tengen,1989
Super Spy Hunter,Sunsoft,1992
Super Team Games,Nintendo,1988
Superman,Kemco,1988
Swamp Thing,THQ,1992
Sword Master,Activision,1992
Swords and Serpents,Acclaim,1990
Taboo: The Sixth Sense,Tradewest,1989
Tag Team Wrestling,Data East,1986
Tagin' Dragon,Bunch Games,1990
TaleSpin,Capcom,1991
Target: Renegade,Taito,1990
Tecmo Baseball,Tecmo,1989
Tecmo Bowl,Tecmo,1989
Tecmo Cup Soccer Game,Tecmo,1992
Tecmo NBA Basketball,Tecmo,1992
Tecmo Super Bowl,Tecmo,1991
Tecmo World Wrestling,Tecmo,1990
Teenage Mutant Ninja Turtles,Ultra Games (Konami),1989
Teenage Mutant Ninja Turtles II: The Arcade Game,Ultra Games (Konami),1990
Teenage Mutant Ninja Turtles III: The Manhattan Project,Konami,1992
Teenage Mutant Ninja Turtles: Tournament Fighters,Konami,1994
Tennis,Nintendo,1985
Terminator 2: Judgment Day,LJN,1992
"Terminator, The",Mindscape,1992
Terra Cresta,Vic Tokai,1990
Tetris (Nintendo),Nintendo,1989
Tetris (Tengen),Tengen,1989
Tetris 2,Nintendo,1993
"Three Stooges, The",Activision,1989
Thunder & Lightning,Romstar,1990
Thunderbirds,Activision,1990
Thundercade,American Sammy,1989
Tiger-Heli,Acclaim,1987
Tiles of Fate,AVE,1990
Time Lord,Milton Bradley,1990
Times of Lore,Toho,1991
Tiny Toon Adventures,Konami,1991
Tiny Toon Adventures 2: Trouble in Wackyland,Konami,1993
Tiny Toon Adventures Cartoon Workshop,Konami,1992
To the Earth,Nintendo,1989
Toki,Taito,1991
Tom & Jerry: The Ultimate Game of Cat and Mouse!,Hi-Tech Expressions,1991
Tombs & Treasure,Infocom,1991
Toobin',Tengen,1989
Top Gun,Konami,1987
Top Gun: The Second Mission,Konami,1990
Top Players' Tennis Featuring Chris Evert & Ivan Lendl,Asmik,1990
Total Recall,Acclaim,1990
Totally Rad,Jaleco,1991
Touchdown Fever,SNK,1991
Town & Country II: Thrilla's Surfari,LJN,1992
Town & Country Surf Designs: Wood & Water Rage,LJN,1988
Toxic Crusaders,Bandai,1992
Track & Field,Konami,1987
Track & Field II,Konami,1989
Treasure Master,American Softworks,1991
Trog!,Acclaim,1991
Trojan,Capcom,1987
Trolls on Treasure Island,AVE,1994
Twin Cobra,American Sammy,1990
Twin Eagle,Romstar,1989
Ultima: Exodus,FCI,1989
Ultima: Quest of the Avatar,FCI,1990
Ultima: Warriors of Destiny,FCI,1993
Ultimate Air Combat,Activision,1992
Ultimate Basketball,American Sammy,1990
Ultimate League Soccer,AVE,1992
"Ultimate Stuntman, The",Camerica,1990
"Uncanny X-Men, The",LJN,1989
Uncharted Waters,Koei,1991
